Part Number,Description,Qty,Column1,Avg Cost
EL-04-1005,2mm RED auto cable 100m OEX,2,100(Box),16.55
EL-04-1006,2mm WHITE auto cable 100m OEX,5,100(Box),23.72
EL-04-1007,4mm BLACK auto cable 100m OEX,5,100(Box),49.84
EL-04-1008,4mm BROWN auto cable 100m OEX,2,100(Box),46.55
EL-04-1009,5mm BLACK auto cable 100m OEX,0,100(Box),0
EL-04-1010,5mm RED auto cable 100m OEX,0,100(Box),0
EL-04-1011,5mm BROWN auto cable 100m OEX,0,100(Box),0
EL-04-1012,0.5-1.6mm M4 RED forked spade insulated dgrip stud,1,100(Box),23.2
EL-04-1013,2.8x0.5mm BLUE qc tab terminal 100pk,5,100(Box),11.57
EL-04-1014,M8 x 25 hex head bolt 8.8 ZINC,3,100(Box),0.3
EL-04-1015,3 Pack - CLEAR Packing Tape - Wrap & Move,3,3(Box),3.89
EL-04-1016,"Zenith 1/4"" And M6 Fibre Washer - 40 Pack",4,40(Box),5.88
EL-04-1017,DETA 20m x 18mm White Insulation PVC Tape - 5 Pack,0,5(Box),6.04
EL-04-1018,M6 rubber washer,3,50(Box),8.6
EL-04-1019,25mm2 12mm copper lug (50),1,50(Box),30.59
EL-04-1020,"Zenith 3/16"" & M5 Fibre Washer - 50 pack",2,50(Box),5.05
EL-04-1021,No.73 3/8 x 1/4 reducing nipple,0,ea,7.95
EL-04-1022,"Deutsch Extraction Tool, Size 16 Circular Contacts",0,ea,2.39
EL-04-1023,"Extraction Tool, Size 20 Circular Contacts",0,ea,3.16
EL-04-1024,19mm Gates Radiator Hose 90 Degree 03-0008,10,ea,9.51
EL-04-1025,25.4mm Gates Radiator Hose 90 Degree 03-0010,10,ea,9.51
EL-04-1026,"OLFLEX CLASSIC 110, PVC sheath, numbered cores, VDE-registered 40G0.5 (39 + E)",575,ea,0
EL-04-1027,Prepare Buff & Polish Bumper Bar Assembly,0,ea,720
EL-04-1028,forklift tynes class 3A 125mm x 45mm x 1070mm,0,ea,499
EL-04-1029,throttle position sensor,2,ea,223.4
EL-04-1030,connector Delphi Metri-Pack 150 suit Eaton drive selector,0,ea,41.58
EL-04-1031,"1/2"" Automatic Electronic Timed Air Compressor AutoDrain Valve AC 220V",3,ea,45.9
EL-04-1032,Double Din Terminal Beige,100,ea,3.91
EL-04-1033,Loctite 243 Threadlocker Adhesive Super Nut Lock 50ml,0,ea,43.55
EL-04-1034,MILD Steel 25x25x3mm Angle,5,ea,19.32
EL-04-1035,MILD Steel 50x50x3mm angle,0,ea,47.54
EL-04-1036,MILD STEEL 50x50x5mm ANGLE,7,ea,72.04
EL-04-1037,MILD STEEL 75x75x5mm ANGLE,2,ea,158.82
EL-04-1038,32x6mm ALUMINIUM FLAT BAR 4M,2,ea,27.18
EL-04-1039,strap PET black 19mm x 1mm x 800M EMB,0,ea,107.5
EL-04-1040,500mm x 18.3m Self Adhesive Anti-slip Tape - Black × 1,1,ea,377.83
EL-04-1041,50x10mm ALUMINIUM FLAT BAR 4M,1,ea,73.6
EL-04-1042,50X8 FLAT BAR-AS3679-G300 6 m,0,ea,44.42
EL-04-1043,drive shaft 2 piece 2654mm,2,ea,4874.33
EL-04-1044,driveshaft 2 piece 2973mm,0,ea,4874.33
EL-04-1045,drive shaft 2 piece suit Mack Trident JTC25,0,ea,4198
EL-04-1046,#10 Low Side Port,0,ea,48.75
EL-04-1047,B/LOCK ALLOY FOR 90/NO6 BEADLOCK FITTING,5,ea,9.3
EL-04-1048,B/LOCK STEEL NO 10 90* FEMALE O RING,10,ea,9.25
EL-04-1049,Bag of Rags 10kg - MR10,4,ea,32.82
EL-04-1050,fuse 2A 1100VDC GR 10mm x 38mm,10,ea,5.25
EL-04-1051,FUSE 10A 1100VDC GR (PV) 10 X 38mm,15,ea,5.25
EL-04-1052,coupling quick connect male self seal x 1/2NPTM,5,ea,22.47
EL-04-1053,125mm x 22 3M Abrasive Fibre Disc Bucket,3,ea,247.87
EL-04-1054,acetal blank 415 x 125 x 120mm (no pick),0,ea,147.37
EL-04-1055,FUSE 10A 850VDC FAST 10.3 x 38.1mm F.TAG 54mm,0,ea,13.5
EL-04-1056,FUSE 15A 850VDC FAST 10.3 x 38.1mm F.TAG 54mm,0,ea,13.5
EL-04-1057,FUSE 15A 1000VDC FAST 10.3 x 38.1mm F.TAG 54mm,0,ea,13.5
EL-04-1058,fuse Adler 100A 800VDC fast blow 25 x 66mm body,0,ea,43
EL-04-1059,fuse Adler 125A 800VDC fast blow 25 x 66mm body,0,ea,50.42
EL-04-1060,fuse Adler 200A 800VDC fast blow 38 x 72mm body,0,ea,66
EL-04-1061,fuse Adler 250A 800VDC fast blow 38 x 72mm body,0,ea,69
EL-04-1062,metal aluminium flat 32 x 6 x 4500,0,ea,31.78
EL-04-1063,Gearex 85W140 20 litres,2,ea,130
EL-04-1064,adaptor coolant suit TM4 motor,2,ea,35
EL-04-1065,PTC elbow 3/4 x 1/2M,0,ea,0.2
EL-04-1066,100X6 FLAT BAR-AS3679-G300 6 m,1,ea,81.39
EL-04-1067,Battery Isolator Lockout Kit Yellow Suits 75910 Series,2,ea,14.55
EL-04-1068,Fleet Management Unit (FMU),66,ea,159.65
EL-04-1069,CANdapter CAN to USB converter,6,ea,110.22
EL-04-1070,ASUS mini PC,2,ea,389.09
EL-04-1071,4G 5dBi OMNI wall antenna,1,ea,63.59
EL-04-1072,Eaton gearbox shift controller,2,ea,1087.66
EL-04-1073,Danfoss DP570 screen (replaces 11134525),6,ea,1396.36
EL-04-1074,PLC Comms Module,1,ea,469
EL-04-1075,Unistream Unicloud Display 7''' C08-Unitronics,4,ea,1445.5
EL-04-1076,"Main Connector Wiring Harness 6 ft (CAN1 wires - 12ft, CAN2 wires - 4ft.)",3,ea,67.89
EL-04-1077,"Cell Tap Wiring Harness, 36 cell, 12ft wire., Gold Plated",14,ea,145.54
EL-04-1078,Cell Wiring Harness - 36 GOLD  (18 feet),42,ea,195.49
EL-04-1079,Cell Wiring Harness (24 feet) - 36 GOLD,14,ea,267.5
EL-04-1080,Current Sensor Harness for Orion 2 - Includes 8 thermistors,0,ea,65.05
EL-04-1081,500A Dual Range Current Sensor (broker),4,ea,84
EL-04-1082,expansion module suit 80 thermistors,0,ea,296
EL-04-1083,wiring harness 6' suit 20 of thermistor,20,ea,24
EL-04-1084,Inertia Switch,5,ea,41.66
EL-04-1085,Marlin isolated CAN gateway,5,ea,351
EL-04-1086,orion 2 battery management system BMS,3,ea,2280.71
EL-04-1087,connecting kit suit Bender iso175,9,ea,36.27
EL-04-1088,Insulation monitoring device Bender iso175C-42-SS,5,ea,777.45
EL-04-1089,Kvaser USBcan Light 4xHS,2,ea,1486.5
EL-04-1090,power steering reservoir,0,ea,150.33
EL-04-1091,"1550H x 600W x 600D IP66 32RU 19"" Data Rack",1,ea,2880.57
EL-04-1092,ANTENNA CABLE 1.5m LL195 SMA-M LEADS CAL5048,0,ea,38.5
EL-04-1093,600H x 600W x 200D IP66 splitter cabinet,4,ea,254.62
EL-04-1094,600H x 400W x 200D IP66 remote access cabinet,2,ea,203.79
