Part Number,Description
HCHAS16,Hose Clamp-Stainless Steel
HCSCS059,Stainless Steel Super Clamp
HPVACMAN51,Powaflex Vacman Suction Hose
HWTEFWHITE,White Teflon Tape
MI10HJ,Joiner
MIT10,Tee Joiner
TFBRHJ25,Brass Barbed Hose Joiner
TFBRMHT25,Male Hose Tail Brass
TFBRT25B,Barbed Brass Tee
TFPFTF50,FI Tank Fitting Poly
TFPMHT25,Hosetail Male Poly
TFPN25,Nipple Poly
TFPNT50,Nut & Tail Poly
TFPT25,Tee Poly
30AL020,Aluminium 6060 T5 Round Bar
32AL252516C,Aluminium 6060 T5
CM-03-0001,Laser Cut
471563,SikaPower 4720 195ML
ASS,Hose Cut & Assembly Charge
OILATF.DX-03,Auto Trans Oil 5 Litres
S74-0812,0812 BSPPOM JICM Nipple
S74-0814,0814 BSPPOM JICM Nipple
FP-02-1080,0812 JIC Female
FP-02-1047,0814 JIC Female
FP-02-1058,08 Rycon Diehard T2D Fras AR
Hose Roll 15.9,INACTIVE - 15.9mm Hose Roll
Hose Roll 25,INACTIVE - 25mm Hose Roll
ACTT001000,Acetone - 1Lt
ADFZ12522G060FGP,Flap Disc Zirconia 125 x 22mm 60 Grit Flat General Purpose
ALPHCDT25PB,Alpha Combination Drill Tap Set w/ Hex Shank Drills
BHX88PM160150BO,Bolt Hex Hd 8.8 Pln M16 x 150mm B/O
BHX88ZM100065BN,Bolt Hex Hd 8.8 Zinc M10 x 65mm B/N
BHXG8PC110125BO,Bolt Hex Hd G8 Pln UNC 7/16 x 1-1/4 B/O
BHXG8PC110275BO,Bolt Hex Hd G8 Pln UNC 7/16 x 2-3/4 B/O
BROACH-UNI1850,Broach Cutter Uni 18mm (50mm cut)
CBTFBR020205ALPH,Csk Bit Triple Flute Bright 2-20.5mm (10mm Shank) ALPHA
CGMS300,Caulking Gun Metal Single Bar Drive Skeleton 230mm
CHEM8272-10,Chemical High Strength Permanent High Temp Threadlocker 10mL
CHEMCT-R1-300,Chemtools Deox R1 Multi-Purpose Thin Film Lubricant 300g
DJOMTI0300,Drill Jobber HSS Tin-Co Gold 3.00mm
DJOMTI0530,Drill Jobber HSS Tin-Co Gold 5.3mm
DJOMTI0700,Drill Jobber HSS Tin-Co Gold 7.00mm
DRS12MBB1650,Drill Red Shk 1/2 BRT/BLK 16.5mm
HOLMSP16004,Holemaker Pilot Pin 6.34mm x 102mm to suit 12-52mm x 50mm depth of cut
HSBM020,Holesaw Bi-Metal 20mm (25/32)
HSBM065,Holesaw Bi-Metal 65mm (2-91/16)
KONS-DSM1-13,Konstrukt M2-HSS 25 Pce Jobber Drill Set
LEADHOOK,Lead Hook
LSPR010010,Lifting Sling Polyester Round 1m x 1T
MAKIDCG180ZB,Makita Mobile Caulking Gun 600mL 18V Li-Ion-Skin-DCG180ZB
M6 X 16 304SS CSK SHCS,INACTIVE - M6 x 16 SF M6X16 304SS M6 X 16 304SS CSK SHCS
MTCKZM060016,MTS Screw CSK Phil Zinc M6 x 16mm
MTPAS4M050030,MTS Screw Pan Phil SS 304 M5 x 30mm
NFLZM12,Nut Flanged (Non-Serrated) Zinc M12
NHXPM06C08,Nut Hex Pln M 6 Class 8
